true/pred,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake
AnnualCrop,267,2,21,20,12,13,38,31,33,13
Forest,0,346,4,0,0,39,0,4,0,57
HerbaceousVegetation,49,5,216,21,8,12,61,57,17,4
Highway,54,3,21,114,20,20,20,40,76,7
Industrial,5,0,2,13,315,0,3,32,5,0
Pasture,10,21,16,0,0,225,4,2,15,7
PermanentCrop,92,4,29,10,2,14,180,27,15,2
Residential,13,3,31,39,28,5,20,276,33,2
River,22,17,9,40,14,10,3,9,238,13
SeaLake,2,32,2,1,2,18,2,13,10,368
